input,target
Get output from running the 'mysql' command in rocket-ranger from pod log-aggregator-pod,kubectl exec log-aggregator-pod -c rocket-ranger -- mysql
Set deployment authentication-service-deployment's service account to prometheus,kubectl set serviceaccount deployment authentication-service-deployment prometheus
"Listen on port 5432 locally, forwarding to 8000 in the pod",kubectl port-forward pod/e-commerce-pod 5432:8000
Begin streaming the logs of the cosmic-container container in pod cdn-service-pod,kubectl logs -f -c cosmic-container cdn-service-pod
"Update pod 'frontend' with the annotation 'SLA' and the value '99.9% uptime', overwriting any existing value",kubectl annotate --overwrite pods frontend SLA='99.9% uptime'
"Create a service for an wordpress deployment, which serves on port 80 and connects to the containers on port 8000",kubectl expose deployment wordpress --port=8083 --target-port=500000
"Listen on port 5000 on all addresses, forwarding to 6379 in the pod",kubectl port-forward --address 0.0.0.0 pod/api-service-pod 5000:6379
Create a new config map named global-config with specified keys instead of file basenames on disk,kubectl create configmap global-config --from-file=conf=/path/to/configurations/file1.txt --from-file=data=/path/to/parameters/file2.txt
List one or more resources by their type and names,kubectl get rc/web service/auth-service-rc pods/web-app-pod
"Auto scale a replication controller ""vpn"", with the number of pods between 1 and 2, target CPU utilization at 81%",kubectl autoscale rc vpn --max=2 --cpu-percent=81
"Listen on port 5000 on localhost and selected IP, forwarding to 8081 in the pod","kubectl port-forward --address localhost,10.19.21.23 pod/log-aggregator-pod 5000:8081"
Set deployment api-server-deployment's service account to prometheus,kubectl set serviceaccount deployment api-server-deployment prometheus
Get output from running the 'ash' command in astro-container from pod mypod,kubectl exec mypod -c astro-container -- ash
"Output modified deployment in YAML, and does not alter the object on the server",kubectl set env deployment/user-management-deployment SMTP_PASSWORD=your-password -o yaml
"List deployments in YAML output format, in the ""hotfix-1.1.2"" version of the ""beta-apps"" API group",kubectl get deployments.hotfix-1.1.2.beta-apps -o yaml
Delete pods and services with label myLabel,"kubectl delete pods,services -l myLabel"
Switch to raw terminal mode; sends stdin to 'bash' in code-explorer from pod gateway-pod # and sends stdout/stderr from 'bash' back to the client,kubectl attach gateway-pod -c code-explorer -i -t
Return snapshot of previous terminated lunar-launcher container logs from pod vpn-service-pod,kubectl logs -p -c lunar-launcher vpn-service-pod
"Listen on a random port locally, forwarding to 3000 in the pod",kubectl port-forward pod/chat-app-pod :3000
"Get output from running 'bash' command from the first pod of the service analytics-service, using the first container by default",kubectl exec svc/analytics-service -- bash
"Delete pods and services with same names ""media-stream"" and ""log-aggregator""","kubectl delete pod,service media-stream log-aggregator"
"Check to see if I can get the job named ""notification-sender-job"" in namespace ""logging""",kubectl auth can-i list jobs.batch/notification-sender-job -n logging
"Create a single ingress called 'public-service-ingress' that directs requests to foo.com/bar to svc # svc1:8181 with a tls secret ""my-cert""","kubectl create ingress public-service-ingress --rule=""foo.com/bar=svc1:8181,tls=my-cert"""
"Listen on port 3000 locally, forwarding to 6379 in the pod",kubectl port-forward pod/analytics-pod 3000:6379
"Update pod 'backend' with the annotation 'deployment-script' and the value 'https://example.com/deploy.sh' # If the same annotation is set multiple times, only the last value will be applied",kubectl annotate pods backend deployment-script='https://example.com/deploy.sh'
"Listen on ports 6379 and 6000 locally, forwarding data to/from ports 8888 and 6000 in the pod",kubectl port-forward pod/frontend-pod 6379 8888
"Update pod 'auth' with the annotation 'monitoring-tool' and the value 'Prometheus' # If the same annotation is set multiple times, only the last value will be applied",kubectl annotate pods auth monitoring-tool=Prometheus
"Listen on port 8088 locally, forwarding to the targetPort of the service's port named ""https"" in a pod selected by the service",kubectl port-forward service/monitoring-service 8088:https
Add to node 'dev-node-4' a taint with key 'app' and no value,kubectl taint nodes dev-node-4 app:NoSchedule
Create a new secret named oauth-secret from an env file,kubectl create secret generic oauth-secret --from-env-file=path/to/configurations.env
"Update pod 'chat-app' with the annotation 'env' and the value 'staging', overwriting any existing value",kubectl annotate --overwrite pods chat-app env='staging'
Create a new LoadBalancer service named ingress-controller-lb,kubectl create service loadbalancer ingress-controller-lb --tcp=9091:8089
"Update pod 'foo' with the annotation 'team' and the value 'frontend-team', overwriting any existing value",kubectl annotate --overwrite pods foo team='frontend-team'
"Check to see if I can get the job named ""report-generation-job"" in namespace ""development""",kubectl auth can-i list jobs.batch/report-generation-job -n development
"Get output from running the 'node' command from pod analytics-pod, using the first container by default",kubectl exec analytics-pod -- node
"Update pod 'frontend' with the annotation 'criticality' and the value high # If the same annotation is set multiple times, only the last value will be applied",kubectl annotate pods frontend criticality=high
Import specific keys from a config map,kubectl set env --keys=redis_host --from=configmap/app-secrets deployment/database-deployment
Create a cron job with a command,"kubectl create cronjob metrics-collection --image=ruby --schedule=""*/1 * * * *"" -- irb"
Create a new ClusterIP service named database-service-clusterip,kubectl create service clusterip database-service-clusterip --tcp=5432:8888
Create a deployment named ingress that runs the alpine image and expose port 3000,kubectl create deployment ingress --image=alpine --port=3000
Create a copy of database-pod changing all container images to hazelcast/hazelcast,kubectl debug database-pod --copy-to=my-debugger --set-image=*=hazelcast/hazelcast
"Listen on port 5000 on localhost and selected IP, forwarding to 3000 in the pod","kubectl port-forward --address localhost,10.19.21.23 pod/api-service-pod 5000:3000"
"Listen on port 3000 on all addresses, forwarding to 6379 in the pod",kubectl port-forward --address 0.0.0.0 pod/analytics-pod 3000:6379
"Create a service for a replicated node, which serves on port 80 and connects to the containers on port 8000",kubectl expose rc node --port=8888 --target-port=900000
"Listen on ports 5432 and 6000 locally, forwarding data to/from ports 8081 and 6000 in a pod selected by the deployment",kubectl port-forward deployment/mydeployment 5432 8081
Create a job with a command,kubectl create job image-build-job --image=node -- node --version
Remove from node 'app-node-6' the taint with key 'cpu-type' and effect 'NoSchedule' if one exists,kubectl taint nodes app-node-6 cpu-type:NoSchedule-
"Set a deployments alpine container cpu limits to ""50m"" and memory to ""1Gi""","kubectl set resources deployment alpine -c=nginx --limits=cpu=50m,memory=1Gi"
Get output from running the 'go' command in nano-bot from pod vpn-service-pod,kubectl exec vpn-service-pod -c nano-bot -- go
Copy /tmp/foo from a remote pod to /tmp/bar locally,kubectl cp kube-public/backend-pod-13:/tmp/foo /tmp/bar
"Delete pods and services with same names ""monitoring"" and ""frontend""","kubectl delete pod,service monitoring frontend"
Add a taint with key 'app' on nodes having label app=web-app,kubectl taint node -l app=web-app  app=prod-node-5:PreferNoSchedule
Get output from code-explorer from pod cdn-service-pod,kubectl attach cdn-service-pod -c code-explorer
Create a new secret named ssl-key-secret with keys for each file in folder bar,kubectl create secret generic ssl-key-secret --from-file=path/to/properties
"Listen on port 8081 locally, forwarding to 9090 in the pod",kubectl port-forward pod/cdn-service-pod 8081:9090
List a single replication controller with specified NAME in ps output format,kubectl get replicationcontroller frontend-rc
Create a job with a command,kubectl create job database-seeding-job --image=jenkins -- jenkins --version
Restart a daemon set,kubectl rollout restart daemonset/staging
Return snapshot of previous terminated time-machine container logs from pod proxy-server-pod,kubectl logs -p -c time-machine proxy-server-pod
Create a new ClusterIP service named messaging-service-clusterip,kubectl create service clusterip messaging-service-clusterip --tcp=3306:8888
"Listen on port 8081 locally, forwarding to 8888 in the pod",kubectl port-forward pod/backend-pod 8081:8888
"Get output from running 'mongo --version' command from the first pod of the deployment search-engine-deployment, using the first container by default",kubectl exec deploy/search-engine-deployment -- mongo --version
"Auto scale a deployment ""vpn"", with the number of pods between 1 and 11, no target CPU utilization specified so a default autoscaling policy will be used",kubectl autoscale deployment vpn --min=1 --max=11
Begin streaming the logs of the time-machine container in pod security-service-pod,kubectl logs -f -c time-machine security-service-pod
"Listen on port 8088 locally, forwarding to 8000 in the pod",kubectl port-forward pod/backend-pod 8088:8000
"Listen on port 8000 locally, forwarding to 3000 in the pod",kubectl port-forward pod/cdn-service-pod 8000:3000
Set the cluster field in the my-context context to star-cluster,kubectl config set contexts.dev-context.cluster star-cluster
Import specific keys from a config map,kubectl set env --keys=log_level --from=configmap/api-config deployment/frontend-deployment
